slug,module,localFile,severity,web_adj,doc_words,gap_pct,aggregated,agg_files
db-proxy,Managed - FPT Database Engines,managed-fpt-database-engine/db-proxy.md,HIGH,903,11,99%,,
create-policy,Policy Management,fpt-key-vault/create-policy.md,HIGH,1450,28,98%,,
networking-overview,Cloud Server,cloud-server/networking-overview.md,HIGH,263,7,97%,,
quan-ly-security-group,Cloud Server,cloud-server/quan-ly-security-group.md,HIGH,1072,35,97%,,
schedule-overview,Cloud Server,cloud-server/schedule-overview.md,HIGH,175,6,97%,,
Initial-Setup,Cloud Server,cloud-guard/Initial-Setup.md,HIGH,1015,40,96%,,
header-project,Cloud Server,cloud-server/header-project.md,HIGH,191,7,96%,,
fqas-2,Request Resource,billing/fqas-2.md,HIGH,71,3,96%,,
hpc-quick-start,Cloud Server,cloud-server/hpc-quick-start.md,HIGH,606,32,95%,,
security-group-priority-rule,Cloud Server,cloud-server/security-group-priority-rule.md,HIGH,432,22,95%,,
quan-ly-project,Cloud Server,cloud-server/quan-ly-project.md,HIGH,171,8,95%,,
redirect-http-request-sang-https,Load Balancer,load-balancer/redirect-http-request-sang-https.md,HIGH,169,8,95%,,
microservices-architecture-on-fke,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/microservices-architecture-on-fke.md,HIGH,1298,59,95%,,
faq,FPT Cloud Desktop,ai-notebook/faq.md,HIGH,352,22,94%,,
security-group-filter,Cloud Server,cloud-server/security-group-filter.md,HIGH,420,27,94%,,
new-quota,Cloud Server,cloud-server/new-quota.md,HIGH,379,21,94%,,
instance-schedule,Cloud Server,cloud-server/instance-schedule.md,HIGH,173,10,94%,,
khoi-tao-profile,FPT Autoscale,fpt-autoscale/khoi-tao-profile.md,HIGH,756,56,93%,,
NIC-overview-1,Cloud Server,cloud-server/NIC-overview-1.md,HIGH,256,18,93%,,
overview-nic,Cloud Server,cloud-server/overview-nic.md,HIGH,257,17,93%,,
instance-group,Cloud Server,cloud-server/instance-group.md,HIGH,163,12,93%,,
Initial-setup,Managed - FPT Kubernetes Engine,fpt-jenkins-ci/Initial-setup.md,HIGH,369,26,93%,,
service-type-load-balancer,Managed - FPT Kubernetes Engine,dedicated-fpt-kubernetes-engine/service-type-load-balancer.md,HIGH,721,48,93%,,
huong-dan-su-dung-autoscaler-voi-gpu,FPT Kubernetes Engine with GPU,fpt-kubernetes-engine-with-gpu/huong-dan-su-dung-autoscaler-voi-gpu.md,HIGH,190,14,93%,,
kiem-tra-trang-thai-cua-alert,FPT Cloud Guard,cloud-guard/kiem-tra-trang-thai-cua-alert.md,HIGH,146,10,93%,,
trien-khai-ung-dung-tren-worker-managed-gpu-cluster,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/trien-khai-ung-dung-tren-worker-managed-gpu-cluster.md,HIGH,300,22,93%,,
multi-nodes-example,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/multi-nodes-example.md,HIGH,1472,107,93%,,
attach-a-network-card-to-the-virtual-machine,Cloud Server,cloud-server/attach-a-network-card-to-the-virtual-machine.md,HIGH,479,40,92%,,
question-,Cloud Server,cloud-server/question-.md,HIGH,113,9,92%,,
finetune-llm-models,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/finetune-llm-models.md,HIGH,873,67,92%,,
SSO-qua-FCDClient-cu,FPT Cloud Desktop,fpt-cloud-desktop/SSO-qua-FCDClient-cu.md,HIGH,644,58,91%,,
create-vm-iso,Cloud Server,cloud-server/create-vm-iso.md,HIGH,266,25,91%,,
quick-starts-khoi-dong-lai-may-ao,Cloud Server,cloud-server/quick-starts-khoi-dong-lai-may-ao.md,HIGH,161,14,91%,,
overview-affinity,Cloud Server,cloud-server/overview-affinity.md,HIGH,159,15,91%,,
overviews-vpn,VPN Site-to-Site,vpn-site-to-site/overviews-vpn.md,HIGH,316,28,91%,,
gpu-sharing,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/gpu-sharing.md,HIGH,1021,87,91%,,
FAQ,Fortigate - FPT NGFW,ai_marketplace/FAQ.md,HIGH,533,47,91%,,
huong-dan-deploy-mot-appliations-voi-kustomize-su-dung-build-options,FPT ArgoCD,fpt-argocd/huong-dan-deploy-mot-appliations-voi-kustomize-su-dung-build-options.md,HIGH,188,16,91%,,
guide-change-status-issue-list,FPT AppSec,fpt-appsec/guide-change-status-issue-list.md,HIGH,171,15,91%,,
slurm-on-fpt-cloud,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/slurm-on-fpt-cloud.md,HIGH,3333,307,91%,,
single-gpu-example,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/single-gpu-example.md,HIGH,777,71,91%,,
khoi-tao-group,FPT Autoscale,fpt-autoscale/khoi-tao-group.md,HIGH,345,36,90%,,
hpc-rest-machine,Cloud Server,cloud-server/hpc-rest-machine.md,HIGH,257,26,90%,,
edit-instance-group-specific,Cloud Server,cloud-server/edit-instance-group-specific.md,HIGH,112,11,90%,,
resize-load-balancer,Load Balancer,load-balancer/resize-load-balancer.md,HIGH,335,35,90%,,
cau-hinh-timeout,Load Balancer,load-balancer/cau-hinh-timeout.md,HIGH,143,14,90%,,
multi-gpus-example,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/multi-gpus-example.md,HIGH,764,76,90%,,
xoa-profile,FPT Autoscale,fpt-autoscale/xoa-profile.md,HIGH,127,14,89%,,
xoa-group,FPT Autoscale,fpt-autoscale/xoa-group.md,HIGH,98,11,89%,,
xoa-policy,FPT Autoscale,fpt-autoscale/xoa-policy.md,HIGH,123,13,89%,,
tutorials-khoi-tao-mot-may-ao-moi,Cloud Server,cloud-server/tutorials-khoi-tao-mot-may-ao-moi.md,HIGH,902,95,89%,,
hpc-schedule-shutdown,Cloud Server,cloud-server/hpc-schedule-shutdown.md,HIGH,132,15,89%,,
tao-target,FPT Cloud VA,fpt-va/tao-target.md,HIGH,1201,138,89%,,
huong-dan-deploy-applications-qua-helm-chart-repo,FPT ArgoCD,fpt-argocd/huong-dan-deploy-applications-qua-helm-chart-repo.md,HIGH,118,13,89%,,
guide-change-status-issue-detail,FPT AppSec,fpt-appsec/guide-change-status-issue-detail.md,HIGH,101,11,89%,,
accountpassword-qua-FCDClient-cu,FPT Cloud Desktop,fpt-cloud-desktop/accountpassword-qua-FCDClient-cu.md,HIGH,482,58,88%,,
schedule-snapshotVM,Cloud Server,cloud-server/schedule-snapshotVM.md,HIGH,68,8,88%,,
trien-khai-ung-dung-su-dung-gpu-tren-kubernetes,FPT Kubernetes Engine with GPU,fpt-kubernetes-engine-with-gpu/trien-khai-ung-dung-su-dung-gpu-tren-kubernetes.md,HIGH,323,40,88%,,
dfke-faqs,Dedicated - FPT Kubernetes Engine,dedicated-fpt-kubernetes-engine/dfke-faqs.md,HIGH,273,33,88%,,
quan-ly-backup-job,Backup,backup/quan-ly-backup-job.md,HIGH,1172,141,88%,,
tai-sao-djoi-luc-toi-thay-so-luong-restore-point-tren-he-thong-nhieu-hon-so-luong-lastest-backup-to-keep-dja-khai-bao,Backup,backup/tai-sao-djoi-luc-toi-thay-so-luong-restore-point-tren-he-thong-nhieu-hon-so-luong-lastest-backup-to-keep-dja-khai-bao.md,HIGH,51,6,88%,,
Version-policy,Managed - FPT Database Engines,managed-fpt-database-engines-new/Version-policy.md,HIGH,527,65,88%,,
parameter,Managed - FPT Database Engines,managed-fpt-database-engines-new/parameter.md,HIGH,453,56,88%,,
