slug,module,localFile,severity,web_adj,doc_words,gap_pct,aggregated,agg_files
quan-ly-security-group,Cloud Server,cloud-server/quan-ly-security-group.md,HIGH,1072,101,91%,,
Initial-Setup,Cloud Server,cloud-guard/Initial-Setup.md,HIGH,1015,195,81%,,
security-group-filter,Cloud Server,cloud-server/security-group-filter.md,HIGH,420,85,80%,,
hpc-quick-start,Cloud Server,cloud-server/hpc-quick-start.md,HIGH,606,129,79%,,
schedule-overview,Cloud Server,cloud-server/schedule-overview.md,HIGH,175,39,78%,,
instance-schedule,Cloud Server,cloud-server/instance-schedule.md,HIGH,173,39,77%,,
SDK-API-Reference,FPT Object Storage,fpt-object-storage/SDK-API-Reference.md,HIGH,1834,432,76%,,
security-group-priority-rule,Cloud Server,cloud-server/security-group-priority-rule.md,HIGH,432,111,74%,,
new-quota,Cloud Server,cloud-server/new-quota.md,HIGH,379,100,74%,,
quan-ly-floating-ip,Cloud Server,cloud-server/quan-ly-floating-ip.md,HIGH,653,182,72%,,
header-project,Cloud Server,cloud-server/header-project.md,HIGH,191,54,72%,,
create-instance-group,Cloud Server,affinity-anti-affinity/create-instance-group.md,HIGH,304,89,71%,,
tutorials-khoi-tao-mot-may-ao-moi,Cloud Server,cloud-server/tutorials-khoi-tao-mot-may-ao-moi.md,HIGH,902,273,70%,,
networking-overview,Cloud Server,cloud-server/networking-overview.md,HIGH,263,79,70%,,
attach-a-network-card-to-the-virtual-machine,Cloud Server,cloud-server/attach-a-network-card-to-the-virtual-machine.md,HIGH,479,156,67%,,
service-type-load-balancer,Managed - FPT Kubernetes Engine,dedicated-fpt-kubernetes-engine/service-type-load-balancer.md,HIGH,721,241,67%,,
FAQ,Fortigate - FPT NGFW,ai_marketplace/FAQ.md,HIGH,533,174,67%,,
vgpu-for-container,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/vgpu-for-container.md,HIGH,985,325,67%,,
profile-ssh-key,Cloud Server,cloud-server/profile-ssh-key.md,HIGH,334,117,65%,,
NIC-overview-1,Cloud Server,cloud-server/NIC-overview-1.md,HIGH,256,89,65%,,
network-all,Cloud Server,cloud-server/network-all.md,HIGH,265,94,65%,,
instance-group,Cloud Server,cloud-server/instance-group.md,HIGH,163,57,65%,,
deleteschedule-snapshotVM,Cloud Server,cloud-server/deleteschedule-snapshotVM.md,HIGH,84,29,65%,,
tutorials-backup-may-chu-voi-snapshot,Cloud Server,cloud-server/tutorials-backup-may-chu-voi-snapshot.md,HIGH,977,360,63%,,
deleteschedule-snapshotstorage,Cloud Server,cloud-server/deleteschedule-snapshotstorage.md,HIGH,79,29,63%,,
theo-doi-bieu-do-load-balancer,Load Balancer,load-balancer/theo-doi-bieu-do-load-balancer.md,HIGH,290,109,62%,,
tutorials-ket-noi-vao-may-ao-linux,Cloud Server,cloud-server/tutorials-ket-noi-vao-may-ao-linux.md,HIGH,559,220,61%,,
cau-hinh-o-dia-cho-may-ao-chay-windows,Cloud Server,cloud-server/cau-hinh-o-dia-cho-may-ao-chay-windows.md,MEDIUM,387,160,59%,,
createschedule-snapshotstorage,Cloud Server,cloud-server/createschedule-snapshotstorage.md,MEDIUM,194,79,59%,,
quick-starts-tao-mot-may-ao,Cloud Server,cloud-server/quick-starts-tao-mot-may-ao.md,MEDIUM,733,310,58%,,
overview-nic,Cloud Server,cloud-server/overview-nic.md,MEDIUM,257,111,57%,,
quick-starts-khoi-dong-lai-may-ao,Cloud Server,cloud-server/quick-starts-khoi-dong-lai-may-ao.md,MEDIUM,161,71,56%,,
gpu-specific,Cloud Server,cloud-server/gpu-specific.md,MEDIUM,559,248,56%,,
quan-ly-project,Cloud Server,cloud-server/quan-ly-project.md,MEDIUM,171,76,56%,,
redirect-http-request-sang-https,Load Balancer,load-balancer/redirect-http-request-sang-https.md,MEDIUM,169,74,56%,,
editschedule-snapshotstorage,Cloud Server,cloud-server/editschedule-snapshotstorage.md,MEDIUM,56,25,55%,,
add-instance-instance-group,Cloud Server,affinity-anti-affinity/add-instance-instance-group.md,MEDIUM,147,68,54%,,
Initial-setup,Managed - FPT Kubernetes Engine,fpt-jenkins-ci/Initial-setup.md,MEDIUM,369,168,54%,,
gpu-general,Cloud Server,cloud-server/gpu-general.md,MEDIUM,567,264,53%,,
